_id,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
1376,1376,Fatal,2008,December,Wednesday,5,Angle,Multi-Vehicle,153.055178818602,-27.3618981801286,Groth Rd,Zillmere Rd,,Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,W,1,0,0,1,2,0,1,0,1,0,0,0
1380,1380,Fatal,2008,May,Thursday,20,Angle,Multi-Vehicle,153.032913660577,-27.4840343908583,Leopard St,Vulture St,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Crest,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,E,1,3,1,0,5,2,0,0,0,0,0,0
1382,1382,Fatal,2008,December,Tuesday,17,Hit object,Single Vehicle,145.547636511611,-17.771442443533,Tully Falls Rd,,,Koombooloomba,Tablelands Region,4872,Ravenshoe,Far North,Far Northern,Northern,North Queensland,Herberton,Tablelands (east) - Kuranda,Cairns,Remote,Hill,Kennedy,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,S,1,1,0,0,2,1,0,0,0,0,0,0
1383,1383,Fatal,2008,December,Friday,18,Overturned,Single Vehicle,147.057144186994,-19.2599334932192,Cungulla Beach Rd,,,Coral Sea,Townsville City,4810,Giru,Townsville,Northern,Northern,North Queensland,Townsville - South,Townsville,Townsville,Outer Regional,Burdekin,Dawson,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Dawn/Dusk,Straight,Level,400,Vehs Manoeuvring: Other,21: Other,S,1,0,0,1,2,1,0,0,0,0,0,0
1384,1384,Fatal,2008,December,Sunday,9,Hit object,Single Vehicle,152.916081825018,-27.30157335171,Hacker Rd,,,Cashmere,Moreton Bay Region,4500,Petrie,Moreton,North Coast,SEQ North,North Coast,Cashmere,The Hills District,Moreton Bay - South,Major Cities,Pine Rivers,Dickson,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,S,1,0,0,0,1,1,0,0,0,0,0,0
1385,1385,Fatal,2008,December,Sunday,15,Sideswipe,Multi-Vehicle,149.899154271544,-23.7456326626459,Capricorn Hwy,,Capricorn Highway (Rockhampton - Duaringa),Boolburra,Central Highlands Region,4702,Duaringa,Capricornia,Central,Central,Central Queensland,Central Highlands - East,Central Highlands (qld),Central Queensland,Outer Regional,Gregory,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,E,1,0,1,2,4,2,0,0,0,0,0,0
1416,1416,Fatal,2008,June,Sunday,1,Angle,Multi-Vehicle,153.440568001656,-28.0674340997143,Dawn Pde,Gold Coast Hwy,Gold Coast Highway (Broadbeach - Coolangatta),Miami,Gold Coast City,4220,Broadbeach,Gold Coast,South Eastern,SEQ South,South Coast,Miami,Broadbeach - Burleigh,Gold Coast,Major Cities,Mermaid Beach,Moncrieff,State-controlled,Intersection - Cross,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,S,1,0,0,0,1,1,0,0,0,1,0,0
1537,1537,Fatal,2008,December,Thursday,0,Fall from vehicle,Single Vehicle,153.055163015987,-27.3509246570401,Parklands Crct,,,Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,901,Pass & Misc: Fell In/From Vehicle,21: Other,E,1,0,0,1,2,1,0,0,0,0,0,0
1604,1604,Fatal,2006,December,Sunday,10,Angle,Multi-Vehicle,152.991537006833,-27.445841418405,Trout St,Waterworks Rd,,Ashgrove,Brisbane City,4060,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Major Cities,Cooper,Brisbane,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,W,1,0,0,0,1,1,1,0,0,0,0,0
1611,1611,Fatal,2006,December,Friday,19,Hit object,Single Vehicle,153.044341395085,-27.5968663098971,Jackson Rd,,,Sunnybank Hills,Brisbane City,4109,Acacia Ridge,South Brisbane,Brisbane,SEQ South,Metropolitan,Sunnybank Hills,Sunnybank,Brisbane - South,Major Cities,Stretton,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,400,Vehs Manoeuvring: Other,21: Other,W,2,0,0,0,2,1,0,0,0,0,0,0
1612,1612,Fatal,2009,January,Tuesday,19,Hit object,Single Vehicle,153.181336142875,-27.7885605422076,Beaudesert - Beenleigh Rd,,Beaudesert - Beenleigh Road,Wolffdene,Logan City,4207,Beenleigh,Logan,South Eastern,SEQ South,South Coast,Wolffdene - Bahrs Scrub,Beenleigh,Logan - Beaudesert,Major Cities,Logan,Forde,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,0,0,0,1,1,0,0,0,0,0,0
1619,1619,Fatal,2009,February,Tuesday,13,Head-on,Multi-Vehicle,152.829536516056,-26.3902333788084,Bruce Hwy,,Cooroy - Gympie Road,Federal,Noosa Shire,4568,Pomona,Sunshine Coast,North Coast,SEQ North,North Coast,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Nicklin,Wide Bay,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,201,Vehs Opposite Approach: Head On,02: Head-on,N,1,3,0,0,4,1,0,2,0,0,0,0
1843,1843,Fatal,2008,December,Thursday,6,Hit pedestrian,Hit pedestrian,153.427997937646,-27.9932354678498,Ferny Ave,,,Surfers Paradise,Gold Coast City,4217,Surfers Paradise,Gold Coast,South Eastern,SEQ South,South Coast,Surfers Paradise,Surfers Paradise,Gold Coast,Major Cities,Surfers Paradise,Moncrieff,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,003,Pedn: Far Side Vehicle Hit From Left,12: Pedestrian,S,1,0,0,0,1,1,0,0,0,0,1,0
2021,2021,Fatal,2014,July,Tuesday,9,Angle,Multi-Vehicle,152.916829062981,-27.3331614330349,Clear Mountain Rd,Strathpine - Samford Rd,Strathpine - Samford Road,Clear Mountain,Moreton Bay Region,4500,Albany Creek,North Brisbane,Brisbane,SEQ North,North Coast,Samford Valley,The Hills District,Moreton Bay - South,Major Cities,Pine Rivers,Dickson,State-controlled,Intersection - T-Junction,No traffic control,80 - 90 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,201,Vehs Opposite Approach: Head On,02: Head-on,N,2,0,1,0,3,2,0,0,0,0,0,0
2022,2022,Fatal,2014,July,Thursday,23,Hit object,Single Vehicle,152.687984203916,-26.3870904027261,Gympie - Brooloo Rd,,Gympie - Brooloo Road,Kandanga,Gympie Region,4570,Imbil,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gympie Region,Gympie - Cooloola,Wide Bay,Inner Regional,Gympie,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,S,1,0,0,0,1,1,0,0,0,0,0,0
2025,2025,Fatal,2014,July,Monday,14,Hit parked vehicle,Single Vehicle,152.77086704311,-27.6170054207294,Chermside Rd,,,Newtown,Ipswich City,4305,Ipswich,Ipswich,Southern,SEQ South,Metropolitan,Ipswich - East,Ipswich Inner,Ipswich,Major Cities,Ipswich,Blair,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,200,Vehs Opposite Approach: Other,21: Other,N,1,2,1,0,4,2,0,0,0,0,0,0
2028,2028,Fatal,2014,July,Saturday,14,Hit object,Single Vehicle,148.21042044004,-28.6441560166854,Castlereagh Hwy,,Castlereagh Highway (St George - Hebel),Dirranbandi,Balonne Shire,4486,Dirranbandi,South West,Southern,Southern,Southern Queensland,Balonne,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Very Remote,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,1,0,0,2,1,0,0,0,0,0,0
2410,2410,Fatal,2008,September,Thursday,14,Angle,Multi-Vehicle,152.687815382827,-26.330592981256,Blackgate Rd,Gympie - Brooloo Rd,Gympie - Brooloo Road,Amamoor,Gympie Region,4570,Imbil,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gympie Region,Gympie - Cooloola,Wide Bay,Inner Regional,Gympie,Wide Bay,State-controlled,Intersection - Cross,Stop sign,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,N,2,0,1,0,3,1,0,1,0,0,0,0
2419,2419,Fatal,2008,October,Thursday,12,Overturned,Single Vehicle,152.596857481923,-25.7697930027468,Bruce Hwy,,Bruce Highway (Gympie - Maryborough),Bauple,Fraser Coast Region,4650,Tiaro,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Maryborough Region - South,Maryborough,Wide Bay,Inner Regional,Gympie,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,502,Vehs Overtaking: Out Of Control,15: Off Carriageway on Straight,N,1,1,1,0,3,1,0,0,0,0,0,0
2470,2470,Fatal,2008,December,Sunday,0,Overturned,Single Vehicle,153.059675967409,-27.3437588504369,Roghan Rd,Sandgate Sub-Arterial Rd,Sandgate Sub-Arterial Road,Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,705,Off Path-Straight: Out Of Control On Cway,17: Out of Control on Straight,N,1,0,0,0,1,1,0,0,0,0,0,0
2975,2975,Fatal,2008,August,Saturday,22,Angle,Multi-Vehicle,152.977789870558,-27.4994291494508,Clarence Rd,Ward St,,Indooroopilly,Brisbane City,4068,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Major Cities,Maiwar,Ryan,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,N,1,0,0,0,1,1,0,0,0,1,0,0
2982,2982,Fatal,2008,December,Thursday,19,Hit pedestrian,Hit pedestrian,152.36869028149,-27.015272610319,Brisbane Valley Hwy,,Brisbane Valley Highway (Ipswich - Harlin),Yimbun,Somerset Region,4313,Toogoolawah,Ipswich,Southern,SEQ North,North Coast,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Inner Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Curved - view obscured,Grade,000,Pedn: Hit Other,21: Other,S,1,2,1,0,4,1,0,0,0,0,1,0
3267,3267,Fatal,2008,November,Thursday,15,Hit object,Single Vehicle,143.828539511808,-27.9949893382397,Bulloo Development Rd,,Bulloo Developmental Road (Cunnamulla - Thargomindah),Thargomindah,Bulloo Shire,4492,Thargomindah,South West,Southern,Southern,Southern Queensland,Far South West,Outback - South,Queensland - Outback,Very Remote,Warrego,Maranoa,State-controlled,Bridge/Causeway,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,W,1,0,0,0,1,1,0,0,0,0,0,0
3268,3268,Fatal,2008,November,Thursday,17,Hit object,Single Vehicle,152.981405853272,-27.791403450115,Teviot Rd,,,South Maclean,Logan City,4280,Jimboomba,Logan,South Eastern,SEQ South,South Coast,Greenbank,Jimboomba,Logan - Beaudesert,Major Cities,Logan,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,S,1,0,0,0,1,1,0,0,0,0,0,0
3793,3793,Fatal,2006,July,Saturday,9,Hit object,Single Vehicle,152.560157840475,-27.5644098704606,Warrego Hwy,,Warrego Highway (Ipswich - Toowoomba),Marburg,Somerset Region,4346,Marburg,Ipswich,Southern,SEQ North,North Coast,Lowood,Ipswich Hinterland,Ipswich,Inner Regional,Lockyer,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,201,Vehs Opposite Approach: Head On,02: Head-on,E,1,2,3,2,8,3,0,0,0,0,3,0
3826,3826,Fatal,2007,March,Saturday,14,Angle,Multi-Vehicle,150.535607372811,-24.3556955733667,Biloela - Callide Rd,Dawson Hwy,Biloela - Callide Road,Mount Murchison,Banana Shire,4715,Biloela,Capricornia,Central,Central,Central Queensland,Banana,Biloela,Central Queensland,Outer Regional,Callide,Flynn,State-controlled,Intersection - Cross,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,S,1,1,0,0,2,1,0,1,0,0,0,0
3827,3827,Fatal,2007,March,Saturday,0,Fall from vehicle,Single Vehicle,153.023562554005,-27.480679334893,Little Stanley St,Tribune St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Stop sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,707,Off Path-Straight: Right Turn,15: Off Carriageway on Straight,S,1,0,0,0,1,0,1,0,0,0,0,0
3832,3832,Fatal,2007,March,Saturday,0,Fall from vehicle,Single Vehicle,153.115080365659,-27.7761729514267,Steele Rd,,,Logan Village,Logan City,4207,Logan Village Yarrabilba,Logan,South Eastern,SEQ South,South Coast,Logan Village,Jimboomba,Logan - Beaudesert,Major Cities,Logan,Wright,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Level,801,Off Path-Curve: Off Cway Right Bend,18: Off Carriageway on Curve,N,1,0,0,0,1,0,1,0,0,0,0,0
3833,3833,Fatal,2007,March,Friday,14,Overturned,Single Vehicle,139.190246791109,-17.9043633468196,Doomadgee - Westmoreland Rd,,,Gregory,Burke Shire,4830,Doomadgee,Mount Isa,Northern,Northern,North Queensland,Carpentaria,Outback - North,Queensland - Outback,Very Remote,Traeger,Kennedy,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,W,1,0,6,0,7,1,0,0,0,0,0,0
3835,3835,Fatal,2007,May,Wednesday,13,Head-on,Multi-Vehicle,149.015287583812,-21.1423410719975,Mackay - Eungella Rd,,Mackay - Eungella Road,Pleystowe,Mackay Region,4741,Walkerston,Mackay,Central,Central,Central Queensland,Walkerston - Eton,Mackay,Mackay - Isaac - Whitsunday,Outer Regional,Mirani,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,201,Vehs Opposite Approach: Head On,02: Head-on,E,2,2,0,0,4,2,0,0,0,0,0,0
3841,3841,Fatal,2006,August,Monday,3,Hit object,Single Vehicle,145.732726377322,-16.9465185804823,Gordon St,Hoad St,,Earlville,Cairns Region,4870,Cairns,Far North,Far Northern,Northern,North Queensland,Earlville - Bayview Heights,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,Locally-controlled,Intersection - Roundabout,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,708,Off Path-Straight: Mounts Traffic Island,16: Off Carriageway on Straight Hit Object,N,1,0,0,0,1,0,1,0,0,0,0,0
3850,3850,Fatal,2006,August,Monday,8,Angle,Multi-Vehicle,152.369043098046,-27.541069347513,Harm Dr,Warrego Hwy,Warrego Highway (Ipswich - Toowoomba),Crowley Vale,Lockyer Valley Region,4342,Laidley,Darling Downs,Southern,SEQ South,Southern Queensland,Lockyer Valley - East,Ipswich Hinterland,Ipswich,Inner Regional,Lockyer,Wright,State-controlled,Intersection - T-Junction,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104,Vehs Adjacent Approach: Thru-Right,01: Intersection: Adjacent Approach,E,1,0,0,0,1,2,0,0,0,0,0,0
3861,3861,Fatal,2007,December,Thursday,14,Hit object,Single Vehicle,153.056934368913,-26.7757858906434,Caloundra Rd,,,Meridan Plains,Sunshine Coast Region,4551,Caloundra,Sunshine Coast,North Coast,SEQ North,North Coast,Caloundra - West,Caloundra,Sunshine Coast,Major Cities,Kawana,Fisher,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704,Off Path-Straight: Right Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,E,1,2,0,0,3,1,0,0,0,0,0,0
3870,3870,Fatal,2005,December,Friday,11,Hit object,Single Vehicle,149.547388696588,-22.6311135248062,Bruce Hwy,,Bruce Highway (Rockhampton - St Lawrence),Ogmore,Livingstone Shire,4706,Marlborough,Capricornia,Central,Central,Central Queensland,Rockhampton Region - North,Rockhampton,Central Queensland,Remote,Mirani,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,N,1,0,1,0,2,1,0,0,0,0,0,0
